zipcode,median_age_total,median_age_male,median_age_female,total_population,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races_two_races_including_some_other_race,"two_or_more_races_two_races_excluding_some_other_race,_and_three_or_more_races",total_population_25_years_and_over,no_schooling_completed_25_years_and_over,nursery_school_25_years_and_over,kindergarten_25_years_and_over,1st_grade_25_years_and_over,2nd_grade_25_years_and_over,3rd_grade_25_years_and_over,4th_grade_25_years_and_over,5th_grade_25_years_and_over,6th_grade_25_years_and_over,7th_grade_25_years_and_over,8th_grade_25_years_and_over,9th_grade_25_years_and_over,10th_grade_25_years_and_over,11th_grade_25_years_and_over,"12th_grade,_no_diploma_25_years_and_over",regular_high_school_diploma_25_years_and_over,ged_or_alternative_credential_25_years_and_over,"some_college,_less_than_1_year_25_years_and_over","some_college,_1_or_more_years,_no_degree_25_years_and_over",associates_degree_25_years_and_over,bachelors_degree_25_years_and_over,masters_degree_25_years_and_over,professional_school_degree_25_years_and_over,doctorate_degree_25_years_and_over,total_population_16_years_and_over,in_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_employed_16_years_and_over,in_labor_force_civilian_labor_force_unemployed_16_years_and_over,in_labor_force_armed_forces_16_years_and_over,not_in_labor_force_16_years_and_over,median_household_income
98001,39.5,39.5,39.5,31742,22831,1384,337,4016,323,1322,1529,77,1452,21369,251,0,0,0,4,1,0,46,100,29,193,308,207,255,432,5000,1000,2008,3776,2732,3577,1153,204,93,25195,17189,17099,15684,1415,90,8006,3578.0
98002,34.4,33.0,36.9,34240,23791,1994,1152,1797,814,2718,1974,310,1664,21956,304,0,22,21,47,83,48,167,486,123,296,370,549,896,675,6496,1319,2161,3223,1987,1981,612,67,23,26009,16149,16097,14294,1803,52,9860,2611.0
98003,35.6,33.4,38.7,45632,27246,4870,470,6309,964,2283,3490,420,3070,29700,611,0,11,0,0,107,163,54,401,61,319,310,464,453,617,7405,1217,2521,5351,3031,4844,1278,264,218,36243,22864,22831,20794,2037,33,13379,3263.0
98004,37.9,35.8,40.5,31254,21834,466,43,7204,87,110,1510,125,1385,23304,123,0,0,2,0,15,0,0,104,15,7,50,59,116,216,1605,277,879,2413,1421,9488,4618,1222,674,26285,17285,17238,16180,1058,47,9000,5330.0
98005,38.0,37.4,39.5,17880,10518,527,11,5585,0,250,989,175,814,12641,114,8,16,0,0,2,0,20,58,12,11,21,26,99,80,1147,126,452,1314,884,4615,2500,559,577,14789,9803,9803,8994,809,0,4986,6574.0
98006,42.5,41.9,42.9,37059,22979,663,238,10971,150,221,1837,180,1657,25767,213,5,0,0,8,16,0,0,27,52,19,27,85,49,136,2610,305,1206,2781,2140,9273,4212,1465,1138,29381,19102,19071,17676,1395,31,10279,5461.0
98007,32.1,31.4,33.1,25521,12023,996,54,10361,22,1196,869,207,662,18255,195,0,0,0,36,6,0,46,169,104,206,146,107,94,166,1740,273,728,1664,1347,6779,3644,391,414,21149,14803,14803,13739,1064,0,6346,4462.0
98008,41.9,40.6,43.0,24452,17145,791,190,5142,18,379,787,58,729,17612,177,0,4,0,27,26,27,108,116,56,99,119,183,23,224,2455,470,719,2118,1265,6126,2427,402,441,19822,12963,12963,12024,939,0,6859,5749.0
98010,41.6,42.9,39.0,4789,4103,95,138,94,0,277,82,0,82,3230,15,0,0,0,0,0,0,13,0,0,10,43,55,37,40,914,155,377,547,248,489,175,41,71,3756,2403,2403,2306,97,0,1353,7053.0
98011,38.6,38.4,38.7,30787,24337,602,194,3217,64,979,1394,84,1310,21751,99,0,0,0,37,0,109,32,170,17,18,72,78,136,298,3137,360,1489,3798,1879,7009,2165,443,405,24755,17583,17512,16270,1242,71,7172,6018.0
98014,40.4,39.9,41.0,6902,6026,45,26,197,28,84,496,0,496,4814,10,0,0,0,0,0,19,0,13,0,27,13,71,134,92,771,132,271,814,432,1337,467,104,107,5463,4032,4032,3799,233,0,1431,8827.0
98019,39.2,38.2,39.5,10815,10000,223,70,237,0,22,263,0,263,7026,0,0,0,0,0,0,0,0,6,0,0,85,43,32,120,1228,229,532,1336,719,1992,568,136,0,8243,5837,5823,5270,553,14,2406,11082.0
98022,43.5,43.5,43.5,21353,19365,235,107,297,29,392,928,38,890,15033,69,6,0,0,79,50,0,0,58,36,366,88,147,298,323,4743,726,1189,2609,1185,2286,502,187,86,17171,11208,11194,10345,849,14,5963,3224.0
98023,36.1,35.4,36.7,49402,32020,4457,629,6887,498,1983,2928,198,2730,32176,358,0,0,11,0,47,25,52,258,18,331,506,151,522,592,7045,975,2957,5608,3437,6365,2238,386,294,38767,27238,27024,24663,2361,214,11529,4329.0
